Title,Year,Publisher,Topics
"Barua, S.; Zakaria, B.S.; Chung, T.; Hai, F.I.; Haile, T.; Al-Mamun, A.; Dhar, B.R. (2019). Microbial Electrolysis Followed by Chemical Precipitation for Effective Nutrients Recovery from Digested Sludge Centrate in WWTPs, Chemical Engineering Journal 361, 256-265.",Unknown,Unknown,Unknown
"Barua, S.; Zakaria, B.S.; L., Lin; Dhar, B.R. (2019). Shaping Microbial Communities with Conductive Carbon Fibers to Enhance Methane Productivity and Kinetics, Bioresource Technology Reports 5, 20-27.",Unknown,Unknown,Unknown
"Barua, S.; Zakaria, B.S.; Al-Mamun, A.; Dhar, B.R. (2019). Anodic performance in microbial electrochemical cells in response to ammonia nitrogen, Journal of Environmental Engineering and Science, 14(1), 37-43 (invited).",Unknown,Unknown,Unknown
"Dhar, B.R., Park, J.H., Park, H.D., Lee, H.S. (2019). Hydrogen-based syntrophy in an electrically conductive biofilm anode, Chemical Engineering Journal 359, 208-216.",Unknown,Unknown,Unknown
"Wenjing, L., Chao, P., Lama, A., Xindi, F., Rong, Y., Dhar, B.R. (2019). Effect of pre-treatments on biological methane potential of dewatered sewage sludge under dry anaerobic digestion. Ultrasonics sonochemistry 52, 224-231.",Unknown,Unknown,Unknown
"Dhar, B.R., Ren, H., Chae, J., Lee, H.S. (2018). Recoverability of electrical conductivity of a Geobacter-enriched biofilm, Journal of Power Sources 402, 198-202.",Unknown,Unknown,Unknown
"Zakaria, B.S.; Barua, S.; Sharaf, S.; Liu, Y.; Dhar, B.R. (2018). Impact of antimicrobial silver nanoparticles on anode respiring bacteria in a microbial electrolysis cell, Chemosphere 213, 259-267.",Unknown,Unknown,Unknown
"Barua, S.; Zakaria, B.S.; Dhar, B.R. (2018). Methanogenic co-degradation of propionate and butyrate by anaerobic microbiome enriched on conductive carbon fibers, Bioresource Technology 266, 259-266.",Unknown,Unknown,Unknown
"Asif, M.B.; Hai, F.I.; Dhar, B.R.; Ngo, H.H.; Guo, W.; Jegatheesan, V.; Price, W.E.; Nghiem, L.D.; Yamamoto, K. (2018). Impact of simultaneous retention of micropollutants and laccase on micropollutant degradation in enzymatic membrane bioreactor, Bioresource Technology 267, 473-480.",Unknown,Unknown,Unknown
"Al-Mamun, A., Ahmed, W., Baawain, M.S., Khadem, M., Dhar, B.R. (2018). A Review of Microbial desalination cell technology: configurations, optimization and applications, Journal of Cleaner Production 183, 458-480.",Unknown,Unknown,Unknown
"Barua, S.; Dhar, B.R. (2017). Advances towards understanding and engineering direct interspecies electron transfer in anaerobic digestion,  Bioresource Technology 244, 698-707.",Unknown,Unknown,Unknown
"Al-Mamun, A., Baawain, M.S., Dhar, B.R., Kim, I.S. (2017). Improved recovery of bioenergy and osmotic water in an osmotic microbial fuel cell using micro-diffuser assisted marine aerobic biofilm on cathode, Biochemical Engineering Journal 128, 235-242.",Unknown,Unknown,Unknown
"Dhar, B.R., Sim, J., Ryu, H., Ren, H., Santo Domingo, J. W., Chae, J., Lee, H.S. (2017). Microbial activity influences electrical conductivity of biofilm anode, Water Research 127, 230-238.",Unknown,Unknown,Unknown
"Elbeshbishy, E., Dhar, B.R., Nakhla, G., Lee, H.S (2017). A critical review on inhibition of dark biohydrogen fermentation, Renewable and Sustainable Energy Reviews 79, 656–668.",Unknown,Unknown,Unknown
"Dhar, B.R., Ryu, H., Ren, H., Santo Domingo, J. W., Chae, J., Lee, H.S. (2016). High biofilm conductivity maintained despite anode potential changes in a Geobacter-enriched biofilm, ChemSusChem 9, 3485 –3491.",Unknown,Unknown,Unknown
"Lee, H.S., Dhar, B.R., An, J., Rittmann, B.E., Ryu, H., Santo Domingo, J. W., Ren, H., Chae, J. (2016). The roles of biofilm conductivity and donor substrate kinetics in a mixed-culture biofilm anode, Environmental Science & Technology  50(23), 12799–12807.",Unknown,Unknown,Unknown
"Dhar, B.R., Ryu, H., Santo Domingo, J. W., Lee, H.S. (2016). Ohmic resistance affects microbial community and electrochemical kinetics in a multi-anode microbial electrochemical cell,  Journal of Power Sources 331, 315-321.",Unknown,Unknown,Unknown
"Dhar, B.R., Elbeshbishy, E., Hafez, H., Lee, H.S. (2015). Hydrogen production from sugar beet juice using an integrated biohydrogen process of dark fermentation and microbial electrolysis cell, Bioresource Technology 198, 223-230.",Unknown,Unknown,Unknown
"Elbeshbishy, E., Dhar, B.R., Hafez, H., Lee, H.S. (2015). Acetone-Butanol-Ethanol production in a novel continuous flow system, Bioresource Technology 190, 315-320.",Unknown,Unknown,Unknown
"Elbeshbishy, E., Dhar, B.R., Nakhla, G. (2015). Assessing non-biodegradable fraction of the thickened waste activated sludge, Water Environment Research 87(8), 707-711.",Unknown,Unknown,Unknown
